restaurant,resume,section,product,price,section_trt
Baba Aroudj-Djelloul,4.4 • $ • Burger,JUMIA ANNIVERSAIRE,Promo Anniversaire: 2 burgers + hamoud boualem,350 DA,JUMIA ANNIVERSAIRE
Baba Aroudj-Djelloul,4.4 • $ • Burger,BURGERS,Cheese burger,170 DA,BURGER
Baba Aroudj-Djelloul,4.4 • $ • Burger,BURGERS,Double cheese burger,230 DA,BURGER
Baba Aroudj-Djelloul,4.4 • $ • Burger,BURGERS,Double viande,200 DA,BURGER
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Tempura de Crevettes,900 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Pizza Margherita,350 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Pizza Poulet Curry,650 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Pizza Orientale,850 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Tagliatelles Poulet Champignons,900 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Burger du Chef,900 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,"LES PLUS COMMANDÉS
Les plus commandés",Tiramisu Nutella Spéculos,600 DA,TOP
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,Tartare thon tomate,500 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,Chicken wings,600 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,(6 pièces),700 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,"Trio de briouates (poulet, viande hachée, crevettes)",900 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,(3 pièces),900 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,Carpaccio,900 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,ENTRÉES,Tempura de Crevettes,1.700 DA,ENTREES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,GRANDES SALADES COMPOSÉES,Nems Au Poulet,800 DA,SALADES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,GRANDES SALADES COMPOSÉES,Foie Gras,900 DA,SALADES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,GRANDES SALADES COMPOSÉES,Salade Niçoise,1.000 DA,SALADES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Salade César,350 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Océane,600 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Margherita,550 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Végétarienne,600 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Napolitaine,650 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Thon,700 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Poulet Curry,850 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Viande Hachée,800 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Orientale,900 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Quatre Fromages,1.300 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Chèvre Miel,400 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza au Saumon Fumé,650 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Marinara (sans fromage ),600 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Champignon,650 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Poulet,750 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Poulet à la Crème,550 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Poulet Fumé,550 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Pomodoro,850 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza Spinaci,800 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PIZZAS,Pizza viande fumée,1.300 DA,PIZZA
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,OMELETTES,Pizza 4 fromages,300 DA,OMELETTES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,OMELETTES,Pizza crevettes,400 DA,OMELETTES
